DATE,DTWEXB
2014-08-28,103.0349
2014-08-29,103.0683
2014-09-01,.
2014-09-02,103.4226
2014-09-03,103.2116
2014-09-04,103.6003
2014-09-05,103.5531
2014-09-08,103.7259
2014-09-09,104.1883
2014-09-10,104.1792
2014-09-11,104.2404
2014-09-12,104.4032
2014-09-15,104.4826
2014-09-16,104.2234
2014-09-17,104.2869
2014-09-18,104.527
2014-09-19,104.7282
2014-09-22,104.8529
2014-09-23,104.8877
2014-09-24,105.0177
2014-09-25,105.2662
2014-09-26,105.5741
2014-09-29,105.7702
2014-09-30,105.9187
2014-10-01,105.938
2014-10-02,105.6909
2014-10-03,106.3541
2014-10-06,105.9432
2014-10-07,105.8435
2014-10-08,105.9041
2014-10-09,105.5605
2014-10-10,105.8078
2014-10-13,.
2014-10-14,105.7661
2014-10-15,105.7127
2014-10-16,105.6599
2014-10-17,105.6812
2014-10-20,105.658
2014-10-21,105.6143
2014-10-22,105.8265
2014-10-23,105.9812
2014-10-24,105.8641
2014-10-27,105.9288
2014-10-28,105.6156
2014-10-29,105.4152
2014-10-30,105.8358
2014-10-31,106.5307
2014-11-03,106.9689
2014-11-04,106.9872
2014-11-05,107.2755
2014-11-06,107.6017
2014-11-07,107.5143
2014-11-10,107.4034
2014-11-11,.
2014-11-12,107.3852
2014-11-13,107.5954
2014-11-14,107.615
2014-11-17,107.7255
2014-11-18,107.5125
2014-11-19,107.7518
2014-11-20,107.7697
2014-11-21,107.803
2014-11-24,107.943
2014-11-25,107.8136
2014-11-26,107.7466
2014-11-27,.
2014-11-28,108.6565
2014-12-01,108.554
2014-12-02,109.1313
2014-12-03,109.2572
2014-12-04,109.1007
2014-12-05,109.7828
2014-12-08,110.0316
2014-12-09,109.5507
2014-12-10,109.7534
2014-12-11,110.204
2014-12-12,110.1715
2014-12-15,110.537
2014-12-16,110.4168
2014-12-17,110.373
2014-12-18,110.6071
2014-12-19,110.8753
2014-12-22,110.7703
2014-12-23,111.1174
2014-12-24,111.0503
2014-12-25,.
2014-12-26,.
2014-12-29,111.1902
2014-12-30,110.8644
2014-12-31,111.0738
2015-01-01,.
2015-01-02,111.6852
2015-01-05,112.3254
2015-01-06,112.1016
2015-01-07,112.4336
2015-01-08,112.0596
2015-01-09,111.9052
2015-01-12,112.0182
2015-01-13,112.0621
2015-01-14,111.8773
2015-01-15,111.891
2015-01-16,112.0592
2015-01-19,.
2015-01-20,112.3884
2015-01-21,112.605
2015-01-22,112.7187
2015-01-23,113.1599
2015-01-26,113.3625
2015-01-27,113.0168
2015-01-28,113.3483
2015-01-29,114.1466
2015-01-30,114.4698
2015-02-02,114.0884
2015-02-03,113.4656
2015-02-04,113.6375
2015-02-05,113.3626
2015-02-06,113.9949
2015-02-09,113.8461
2015-02-10,114.1379
2015-02-11,114.6429
2015-02-12,113.8115
2015-02-13,113.6873
2015-02-16,.
2015-02-17,.
2015-02-18,114.1224
2015-02-19,114.0097
2015-02-20,114.2028
2015-02-23,114.4195
2015-02-24,114.4164
2015-02-25,113.9131
2015-02-26,114.3377
2015-02-27,114.4668
2015-03-02,114.6877
2015-03-03,114.4228
2015-03-04,114.9886
2015-03-05,.
2015-03-06,116.241
2015-03-09,116.3391
2015-03-10,116.9654
2015-03-11,117.3451
2015-03-12,116.9802
2015-03-13,117.7111
2015-03-16,117.443
2015-03-17,117.3438
2015-03-18,117.1145
2015-03-19,116.843
2015-03-20,115.8666
2015-03-23,115.1989
2015-03-24,115.0968
2015-03-25,114.9296
2015-03-26,115.2175
2015-03-27,115.5594
2015-03-30,116.0341
2015-03-31,116.0825
2015-04-01,115.6827
2015-04-02,115.2714
2015-04-03,114.4885
2015-04-06,114.3727
2015-04-07,115.0367
2015-04-08,115.0087
2015-04-09,115.5787
2015-04-10,116.0151
2015-04-13,116.3194
2015-04-14,115.6136
2015-04-15,115.7307
2015-04-16,114.8323
2015-04-17,114.9071
2015-04-20,115.0912
2015-04-21,115.1648
2015-04-22,115.1654
2015-04-23,114.7529
2015-04-24,114.4818
2015-04-27,114.3227
2015-04-28,113.7386
2015-04-29,113.1975
2015-04-30,113.9418
2015-05-01,114.2566
2015-05-04,114.3031
2015-05-05,113.874
2015-05-06,113.3233
2015-05-07,113.8335
2015-05-08,113.5168
2015-05-11,114.0112
2015-05-12,113.5973
2015-05-13,113.0492
2015-05-14,112.9183
2015-05-15,112.6878
2015-05-18,113.248
2015-05-19,113.9798
2015-05-20,114.2081
2015-05-21,114.0238
2015-05-22,114.4649
2015-05-25,.
2015-05-26,115.3675
2015-05-27,115.5505
2015-05-28,115.573
2015-05-29,115.3926
2015-06-01,115.8876
2015-06-02,115.135
2015-06-03,114.8379
2015-06-04,115.2072
2015-06-05,115.8773
2015-06-08,115.5341
2015-06-09,114.9918
2015-06-10,114.5567
2015-06-11,114.8503
2015-06-12,114.6791
2015-06-15,114.7673
2015-06-16,114.8142
2015-06-17,114.8444
2015-06-18,113.8771
2015-06-19,114.233
2015-06-22,114.1569
2015-06-23,114.7336
2015-06-24,115.0215
2015-06-25,114.9359
2015-06-26,115.2106
2015-06-29,115.1877
2015-06-30,115.2961
2015-07-01,115.7791
2015-07-02,115.6798
2015-07-03,.
2015-07-06,115.9269
2015-07-07,116.5545
2015-07-08,116.2316
2015-07-09,116.3169
2015-07-10,115.9792
2015-07-13,116.3564
2015-07-14,116.2778
2015-07-15,116.8023
2015-07-16,116.9618
2015-07-17,117.3229
2015-07-20,117.4937
2015-07-21,117.1813
2015-07-22,117.59
2015-07-23,117.5667
2015-07-24,117.8397
2015-07-27,117.5401
2015-07-28,117.5414
2015-07-29,117.449
2015-07-30,118.298
2015-07-31,117.6531
2015-08-03,118.105
2015-08-04,118.1106
2015-08-05,118.7498
2015-08-06,118.6193
2015-08-07,118.3321
2015-08-10,118.0899
2015-08-11,119.0389
2015-08-12,118.6743
2015-08-13,119.1068
2015-08-14,119.1336
2015-08-17,119.3824
2015-08-18,119.5018
2015-08-19,119.677
2015-08-20,119.3772
2015-08-21,119.4312
2015-08-24,119.2508
2015-08-25,119.6317
2015-08-26,119.8356
2015-08-27,119.684
2015-08-28,119.8358
2015-08-31,119.7022
2015-09-01,119.5874
2015-09-02,119.917
2015-09-03,119.9793
2015-09-04,120.2373
2015-09-07,.
2015-09-08,119.9869
2015-09-09,120.1238
2015-09-10,119.8368
2015-09-11,119.8003
2015-09-14,119.674
2015-09-15,119.7907
2015-09-16,119.2577
2015-09-17,119.2547
2015-09-18,118.9609
2015-09-21,119.805
2015-09-22,120.3712
2015-09-23,120.826
2015-09-24,120.6309
2015-09-25,120.5414
2015-09-28,120.5731
2015-09-29,120.6839
2015-09-30,120.4553
2015-10-01,120.1891
2015-10-02,119.8576
2015-10-05,119.56
2015-10-06,119.25
2015-10-07,118.888
2015-10-08,118.7178
2015-10-09,118.1129
2015-10-12,.
2015-10-13,118.4498
2015-10-14,118.1724
2015-10-15,117.669
2015-10-16,118.0282
2015-10-19,118.4463
2015-10-20,118.3939
2015-10-21,118.8468
2015-10-22,119.0979
2015-10-23,119.4649
2015-10-26,119.2436
2015-10-27,119.5397
2015-10-28,119.2766
2015-10-29,119.8739
2015-10-30,119.2417
2015-11-02,119.2443
2015-11-03,119.2546
2015-11-04,119.7418
2015-11-05,119.8297
2015-11-06,120.7408
2015-11-09,121.0007
2015-11-10,121.0721
2015-11-11,.
2015-11-12,120.9201
2015-11-13,121.1691
2015-11-16,121.3486
2015-11-17,121.4487
2015-11-18,121.5008
2015-11-19,120.7009
2015-11-20,120.8727
2015-11-23,121.2279
2015-11-24,120.8511
2015-11-25,120.9697
2015-11-26,.
2015-11-27,121.3866
2015-11-30,121.428
2015-12-01,121.203
2015-12-02,121.4557
2015-12-03,120.7523
2015-12-04,120.6702
2015-12-07,121.4832
2015-12-08,121.7362
2015-12-09,121.4163
2015-12-10,121.4932
2015-12-11,121.997
2015-12-14,122.0296
2015-12-15,122.1028
2015-12-16,122.2457
2015-12-17,123.0876
2015-12-18,122.5332
2015-12-21,122.6476
2015-12-22,122.4292
2015-12-23,122.3762
2015-12-24,122.2835
2015-12-25,.
2015-12-28,122.2991
2015-12-29,122.4124
2015-12-30,122.7588
2015-12-31,122.5837
2016-01-01,.
2016-01-04,123.497
2016-01-05,123.5787
2016-01-06,123.9952
2016-01-07,124.0731
2016-01-08,124.444
2016-01-11,124.4245
2016-01-12,124.7145
2016-01-13,124.545
2016-01-14,124.793
2016-01-15,125.1417
2016-01-18,.
2016-01-19,125.1875
2016-01-20,125.7582
2016-01-21,125.4211
2016-01-22,125.1682
2016-01-25,.
2016-01-26,.
2016-01-27,124.9103
2016-01-28,124.6163
2016-01-29,124.9387
2016-02-01,124.7316
2016-02-02,124.9987
2016-02-03,124.0601
2016-02-04,122.985
2016-02-05,123.6953
2016-02-08,123.8319
2016-02-09,123.5474
2016-02-10,123.6665
2016-02-11,123.57
2016-02-12,123.7055
2016-02-15,.
2016-02-16,123.7971
2016-02-17,123.1762
2016-02-18,123.1912
2016-02-19,123.2689
2016-02-22,123.0853
2016-02-23,123.4448
2016-02-24,123.4302
2016-02-25,123.2036
2016-02-26,123.6734
2016-02-29,123.5523
2016-03-01,123.2184
2016-03-02,123.0909
2016-03-03,122.5112
2016-03-04,121.842
2016-03-07,121.8406
2016-03-08,122.064
2016-03-09,121.646
2016-03-10,121.6333
2016-03-11,121.0113
2016-03-14,121.4321
2016-03-15,121.8374
2016-03-16,122.0486
2016-03-17,119.6412
2016-03-18,119.5981
2016-03-21,119.9323
2016-03-22,119.9571
2016-03-23,120.7454
2016-03-24,121.0407
2016-03-25,120.9909
2016-03-28,120.592
2016-03-29,120.6162
2016-03-30,119.3976
2016-03-31,119.0352
2016-04-01,119.4394
2016-04-04,119.5683
2016-04-05,120.1025
2016-04-06,119.6853
2016-04-07,119.9972
2016-04-08,119.5306
2016-04-11,119.0796
2016-04-12,118.9259
2016-04-13,119.2756
2016-04-14,119.2975
2016-04-15,119.3201
2016-04-18,119.1245
2016-04-19,118.3877
2016-04-20,118.5123
2016-04-21,119.0124
2016-04-22,119.4479
2016-04-25,119.4019
2016-04-26,118.9723
2016-04-27,119.0636
2016-04-28,118.3706
2016-04-29,117.9844
2016-05-02,117.8318
2016-05-03,118.5529
2016-05-04,119.2
2016-05-05,119.4671
2016-05-06,119.5898
2016-05-09,120.2017
2016-05-10,120.0853
2016-05-11,119.502
2016-05-12,119.9485
2016-05-13,120.5275
2016-05-16,120.3926
2016-05-17,120.3584
2016-05-18,120.8509
2016-05-19,121.5959
2016-05-20,121.5348
2016-05-23,121.6293
2016-05-24,121.6634
2016-05-25,121.5683
2016-05-26,121.2641
2016-05-27,121.4568
2016-05-30,.
2016-05-31,121.8333
2016-06-01,121.8493
2016-06-02,121.8463
2016-06-03,120.7835
2016-06-06,120.5501
2016-06-07,120.1666
2016-06-08,119.4872
2016-06-09,119.9132
2016-06-10,120.4202
2016-06-13,120.8411
2016-06-14,121.3436
2016-06-15,121.0905
2016-06-16,121.5503
2016-06-17,120.865
2016-06-20,120.2059
2016-06-21,120.3457
2016-06-22,120.0885
2016-06-23,119.5841
2016-06-24,121.4044
2016-06-27,122.3985
2016-06-28,121.9898
2016-06-29,121.0761
2016-06-30,121.3552
2016-07-01,120.8551
2016-07-04,.
2016-07-05,121.6497
2016-07-06,121.7717
2016-07-07,121.7905
2016-07-08,121.5928
2016-07-11,121.7347
2016-07-12,121.3498
2016-07-13,121.2607
2016-07-14,120.9949
2016-07-15,121.5111
2016-07-18,121.5001
2016-07-19,121.877
2016-07-20,121.9095
2016-07-21,121.8558
2016-07-22,122.2059
2016-07-25,122.4184
2016-07-26,122.283
2016-07-27,122.4372
2016-07-28,121.948
2016-07-29,121.0503
2016-08-01,121.1396
2016-08-02,120.8655
2016-08-03,121.1199
2016-08-04,121.065
2016-08-05,121.5045
2016-08-08,121.2812
2016-08-09,120.8259
2016-08-10,120.3886
2016-08-11,120.2481
2016-08-12,120.2509
2016-08-15,119.9692
2016-08-16,119.4747
2016-08-17,120.0424
2016-08-18,119.4093
2016-08-19,119.9461
2016-08-22,120.1494
2016-08-23,120.0838
2016-08-24,120.4833
2016-08-25,120.3366
2016-08-26,120.373
2016-08-29,121.07
2016-08-30,121.4972
2016-08-31,121.6157
2016-09-01,121.4077
2016-09-02,121.2493
2016-09-05,.
2016-09-06,120.1736
2016-09-07,120.1392
2016-09-08,120.4432
2016-09-09,121.2095
2016-09-12,121.3896
2016-09-13,121.7592
2016-09-14,121.7001
2016-09-15,121.7105
2016-09-16,122.4093
2016-09-19,122.0995
2016-09-20,122.3791
2016-09-21,122.1599
2016-09-22,121.431
2016-09-23,121.8823
2016-09-26,121.8824
2016-09-27,121.6991
2016-09-28,121.7766
2016-09-29,121.4388
2016-09-30,121.4347
2016-10-03,121.6379
2016-10-04,121.7876
2016-10-05,121.9323
2016-10-06,122.1278
2016-10-07,122.3818
2016-10-10,.
2016-10-11,122.5904
2016-10-12,122.8999
2016-10-13,122.798
2016-10-14,122.8929
2016-10-17,122.7445
2016-10-18,122.3227
2016-10-19,122.2133
2016-10-20,122.5717
2016-10-21,123.0934
2016-10-24,123.0427
2016-10-25,122.8525
2016-10-26,123.0059
2016-10-27,123.4242
2016-10-28,123.3093
2016-10-31,123.2421
2016-11-01,123.2113
2016-11-02,123.1609
2016-11-03,123.0173
2016-11-04,122.8412
2016-11-07,122.7989
2016-11-08,122.5558
2016-11-09,124.0105
2016-11-10,125.3572
2016-11-11,.
2016-11-14,126.7384
2016-11-15,126.2724
2016-11-16,126.3434
2016-11-17,126.42
2016-11-18,127.1363
2016-11-21,127.0455
2016-11-22,126.997
2016-11-23,127.6608
2016-11-24,.
2016-11-25,127.6295
2016-11-28,127.3151
2016-11-29,127.2371
2016-11-30,127.344
2016-12-01,127.2727
2016-12-02,126.9232
2016-12-05,126.7098
2016-12-06,126.5216
2016-12-07,126.2384
2016-12-08,126.5997
2016-12-09,126.9037
2016-12-12,126.5244
2016-12-13,126.3995
2016-12-14,126.3524
2016-12-15,128.4575
2016-12-16,128.0438
2016-12-19,128.0451
2016-12-20,128.2851
2016-12-21,128.2196
2016-12-22,128.4727
2016-12-23,128.4091
2016-12-26,.
2016-12-27,128.5865
2016-12-28,128.8712
2016-12-29,128.2915
2016-12-30,127.9973
2017-01-02,.
2017-01-03,128.758
2017-01-04,128.5398
2017-01-05,127.5844
2017-01-06,127.9861
2017-01-09,128.0519
2017-01-10,128.1577
2017-01-11,128.6652
2017-01-12,127.345
2017-01-13,127.5552
2017-01-16,.
2017-01-17,126.7785
2017-01-18,127.2209
2017-01-19,127.8718
2017-01-20,.
2017-01-23,126.7542
2017-01-24,126.572
2017-01-25,126.503
2017-01-26,126.8499
2017-01-27,126.6392
2017-01-30,126.266
2017-01-31,125.7556
2017-02-01,125.9309
2017-02-02,125.3965
2017-02-03,125.0782
2017-02-06,125.4892
2017-02-07,125.8945
2017-02-08,125.6068
2017-02-09,125.7772
2017-02-10,125.6234
2017-02-13,125.8207
2017-02-14,125.8262
2017-02-15,125.6477
2017-02-16,125.4249
2017-02-17,125.8437
2017-02-20,.
2017-02-21,126.0408
2017-02-22,125.6343
2017-02-23,125.0473
2017-02-24,125.2118
2017-02-27,125.073
2017-02-28,125.3934
2017-03-01,125.8382
2017-03-02,126.2589
2017-03-03,126.0589
2017-03-06,125.8393
2017-03-07,125.8326
2017-03-08,126.3012
2017-03-09,126.4401
2017-03-10,126.0438
2017-03-13,125.8355
2017-03-14,126.006
2017-03-15,125.7875
2017-03-16,124.8907
2017-03-17,124.6577
2017-03-20,124.4008
2017-03-21,124.171
2017-03-22,124.1389
2017-03-23,124.1401
2017-03-24,123.96
2017-03-27,123.5402
2017-03-28,123.7349
2017-03-29,124.03
2017-03-30,123.8476
2017-03-31,124.1269
2017-04-03,124.1834
2017-04-04,124.3205
2017-04-05,124.2906
2017-04-06,124.3734
2017-04-07,124.4095
2017-04-10,124.4773
2017-04-11,124.3722
2017-04-12,124.2637
2017-04-13,123.8309
2017-04-14,123.8531
2017-04-17,123.6423
2017-04-18,123.5967
2017-04-19,124.1595
2017-04-20,123.9783
2017-04-21,124.1695
2017-04-24,123.7081
2017-04-25,123.859
2017-04-26,124.337
2017-04-27,124.3915
2017-04-28,124.1803
2017-05-01,123.9763
2017-05-02,124.0578
2017-05-03,124.0522
2017-05-04,124.3215
2017-05-05,124.2034
2017-05-08,124.5196
2017-05-09,124.8389
2017-05-10,124.5386
2017-05-11,124.4716
2017-05-12,124.1333
2017-05-15,123.7166
2017-05-16,123.3557
2017-05-17,123.1092
2017-05-18,123.6707
2017-05-19,123.0696
2017-05-22,122.9058
2017-05-23,123.0627
2017-05-24,123.0453
2017-05-25,122.7053
2017-05-26,122.7692
2017-05-29,.
2017-05-30,122.8616
2017-05-31,122.5504
2017-06-01,122.5485
2017-06-02,122.4415
2017-06-05,122.2087
2017-06-06,121.9205
2017-06-07,122.0424
2017-06-08,122.0669
2017-06-09,122.1669
2017-06-12,122.1853
2017-06-13,121.8463
2017-06-14,121.2687
2017-06-15,122.1151
2017-06-16,121.8658
2017-06-19,122.0271
2017-06-20,122.5609
2017-06-21,122.6341
2017-06-22,122.4655
2017-06-23,122.1593
2017-06-26,122.0559
2017-06-27,121.8397
2017-06-28,121.3806
2017-06-29,121.3068
2017-06-30,121.2889
2017-07-03,121.7641
2017-07-04,.
2017-07-05,122.0035
2017-07-06,121.7853
2017-07-07,121.6759
2017-07-10,121.5079
2017-07-11,121.4875
2017-07-12,120.8946
2017-07-13,120.8369
2017-07-14,120.1919
2017-07-17,120.2104
2017-07-18,119.6745
2017-07-19,119.6818
2017-07-20,119.498
2017-07-21,119.4474
2017-07-24,119.4485
2017-07-25,119.5442
2017-07-26,119.6445
2017-07-27,119.45
2017-07-28,119.1658
2017-07-31,119.0543
2017-08-01,119.0812
2017-08-02,118.9931
2017-08-03,119.0579
2017-08-04,119.5022
2017-08-07,119.5861
2017-08-08,119.5783
2017-08-09,119.5249
2017-08-10,119.3104
2017-08-11,119.1768
2017-08-14,119.2278
2017-08-15,119.6249
2017-08-16,119.5863
2017-08-17,119.2989
2017-08-18,119.1631
2017-08-21,118.846
2017-08-22,118.9333
2017-08-23,118.8936
2017-08-24,118.8452
2017-08-25,118.4109
2017-08-28,118.215
2017-08-29,118.1189
2017-08-30,118.4163
2017-08-31,118.3726
2017-09-01,118.0239
2017-09-04,.
2017-09-05,117.8253
2017-09-06,117.4478
2017-09-07,116.8156
2017-09-08,116.7198
2017-09-11,117.1151
2017-09-12,117.3186
2017-09-13,117.6628
2017-09-14,117.6496
2017-09-15,117.3644
2017-09-18,117.7116
2017-09-19,117.6988
2017-09-20,117.5044
2017-09-21,118.0249
2017-09-22,117.8412
2017-09-25,118.4539
2017-09-26,118.9306
2017-09-27,119.2453
2017-09-28,119.4517
2017-09-29,119.2721
2017-10-02,119.5503
2017-10-03,119.5045
2017-10-04,119.4184
2017-10-05,119.7341
2017-10-06,119.9479
2017-10-09,.
2017-10-10,119.37
2017-10-11,119.3886
2017-10-12,119.396
2017-10-13,119.3511
2017-10-16,119.6406
2017-10-17,120.0415
2017-10-18,119.8619
2017-10-19,119.577
2017-10-20,120.1686
2017-10-23,120.3749
2017-10-24,120.5508
2017-10-25,120.5407
2017-10-26,120.7827
2017-10-27,121.3015
2017-10-30,121.0627
2017-10-31,120.9444
2017-11-01,120.8867
2017-11-02,120.6253
2017-11-03,121.0757
2017-11-06,120.8408
2017-11-07,121.084
2017-11-08,120.808
2017-11-09,120.702
2017-11-10,.
2017-11-13,120.9177
2017-11-14,120.6496
2017-11-15,120.5898
2017-11-16,120.3562
2017-11-17,120.0765
2017-11-20,120.3473
2017-11-21,120.0523
2017-11-22,119.5992
2017-11-23,.
2017-11-24,119.0493
2017-11-27,119.1349
2017-11-28,119.3079
2017-11-29,119.3605
2017-11-30,119.5178
2017-12-01,119.2166
2017-12-04,119.4777
2017-12-05,119.5711
2017-12-06,119.9478
2017-12-07,120.1026
2017-12-08,120.3128
2017-12-11,120.1665
2017-12-12,120.6106
2017-12-13,120.3551
2017-12-14,120.1644
2017-12-15,120.1886
2017-12-18,119.9698
2017-12-19,120.1876
2017-12-20,119.8684
2017-12-21,119.9287
2017-12-22,120.1416
2017-12-25,.
2017-12-26,119.9781
2017-12-27,119.8821
2017-12-28,119.5086
2017-12-29,119.0471
2018-01-01,.
2018-01-02,118.5803
2018-01-03,118.6052
2018-01-04,118.3948
2018-01-05,118.268
2018-01-08,118.503
2018-01-09,118.8654
2018-01-10,118.5504
2018-01-11,118.3887
2018-01-12,117.7672
2018-01-15,.
2018-01-16,117.1712
2018-01-17,117.0006
2018-01-18,116.8991
2018-01-19,116.7397
2018-01-22,116.9237
2018-01-23,116.813
2018-01-24,115.8563
2018-01-25,115.2149
2018-01-26,115.3967
2018-01-29,115.8373
2018-01-30,115.8343
2018-01-31,115.4529
2018-02-01,115.1867
2018-02-02,115.8271
2018-02-05,117.0447
2018-02-06,117.2092
2018-02-07,117.7398
2018-02-08,118.4378
2018-02-09,118.3327
2018-02-12,118.1318
2018-02-13,117.8681
2018-02-14,117.5674
2018-02-15,117.0706
2018-02-16,117.1116
2018-02-19,.
2018-02-20,117.709
2018-02-21,117.95
2018-02-22,117.9866
2018-02-23,117.7761
2018-02-26,117.7844
2018-02-27,118.252
2018-02-28,118.4674
2018-03-01,118.6877
2018-03-02,118.4008
2018-03-05,118.4939
2018-03-06,117.8662
2018-03-07,118.1871
2018-03-08,118.4087
2018-03-09,118.045
2018-03-12,118.0677
2018-03-13,117.8386
2018-03-14,117.9499
2018-03-15,118.3023
2018-03-16,118.5386
2018-03-19,118.4697
2018-03-20,118.6531
2018-03-21,118.2879
2018-03-22,118.1591
2018-03-23,117.8978
2018-03-26,117.2848
2018-03-27,117.4453
2018-03-28,117.6919
2018-03-29,117.7571
2018-03-30,117.5476
2018-04-02,117.7785
2018-04-03,117.6617
2018-04-04,117.7659
2018-04-05,117.8583
2018-04-06,117.9478
2018-04-09,117.715
2018-04-10,117.5436
2018-04-11,117.2751
2018-04-12,117.484
2018-04-13,117.4133
2018-04-16,117.2731
2018-04-17,117.2452
2018-04-18,117.2913
2018-04-19,117.7163
2018-04-20,118.3993
2018-04-23,119.226
2018-04-24,119.0615
2018-04-25,119.6656
2018-04-26,119.6924
2018-04-27,119.4572
2018-04-30,119.6435
2018-05-01,120.0488
2018-05-02,120.5326
2018-05-03,120.5187
